accuracy,loss,val_accuracy,val_loss
0.25890836119651794,2.1328678131103516,0.2977152466773987,1.870590329170227
0.30920615792274475,1.9146311283111572,0.4265812337398529,1.4923310279846191
0.3404855728149414,1.7842093706130981,0.4455280005931854,1.485997200012207
0.37413355708122253,1.685091257095337,0.46921148896217346,1.4069732427597046
0.39987459778785706,1.599597454071045,0.4857899248600006,1.3695310354232788
0.41847503185272217,1.5432227849960327,0.5001392960548401,1.3295642137527466
0.43982723355293274,1.4873683452606201,0.49052661657333374,1.385959267616272
0.4581490159034729,1.4441174268722534,0.5253552794456482,1.259063482284546
0.4676930606365204,1.410566806793213,0.5227082967758179,1.2399547100067139
0.4801281690597534,1.3690088987350464,0.5405405163764954,1.2178112268447876
0.4960465431213379,1.333328366279602,0.5521036386489868,1.1839070320129395
0.5043017864227295,1.3074544668197632,0.5430482029914856,1.2015365362167358
0.5110940933227539,1.2893654108047485,0.5426302552223206,1.207038402557373
0.5220314264297485,1.2623982429504395,0.5665923953056335,1.1651215553283691
0.5283360481262207,1.2447866201400757,0.5677068829536438,1.1375467777252197
0.5395869016647339,1.2255607843399048,0.5759264230728149,1.1186710596084595
0.5410150289535522,1.2121506929397583,0.5597659349441528,1.1599308252334595
0.548852264881134,1.193028211593628,0.568821370601654,1.1261433362960815
0.5514995455741882,1.1840620040893555,0.5813596844673157,1.1041492223739624
0.5580828189849854,1.1658011674880981,0.5640847086906433,1.1434082984924316
0.5655717849731445,1.155504584312439,0.5957090854644775,1.0724366903305054
0.5702044367790222,1.1474589109420776,0.6008637547492981,1.0578886270523071
0.5734438896179199,1.1325931549072266,0.5873502492904663,1.099567174911499
0.579226016998291,1.1238951683044434,0.6140986084938049,1.033319115638733
0.5794349908828735,1.1154897212982178,0.601142406463623,1.0422183275222778
0.5839284062385559,1.1032298803329468,0.5909724235534668,1.086746096611023
0.5891184210777283,1.0925652980804443,0.6037893295288086,1.0529170036315918
0.590790331363678,1.0818065404891968,0.6018389463424683,1.0614359378814697
0.5970253348350525,1.0740472078323364,0.5828921794891357,1.1263208389282227
0.5981399416923523,1.0684125423431396,0.6081081032752991,1.0421355962753296
0.5996377468109131,1.0599359273910522,0.6124268770217896,1.0403850078582764
0.6080323457717896,1.0469506978988647,0.6174421906471252,1.0171526670455933
0.6085896492004395,1.0382466316223145,0.615631103515625,1.033798098564148
0.6128740310668945,1.0322635173797607,0.6163276433944702,1.0205743312835693
0.6151381134986877,1.026241421699524,0.6212036609649658,1.0107446908950806
0.6213034391403198,1.0193870067596436,0.6184173822402954,1.0243768692016602
0.6213731169700623,1.01360023021698,0.6244078874588013,1.003787875175476
0.6193528175354004,1.0127061605453491,0.6170242428779602,1.0280143022537231
0.6255878210067749,1.0008339881896973,0.6287266612052917,0.99498051404953
0.6302553415298462,0.988120973110199,0.6295625567436218,0.9901971220970154
0.6332160830497742,0.985127866268158,0.6299805045127869,0.9873144626617432
0.6341217160224915,0.978256106376648,0.6210643649101257,1.0146936178207397
0.636211633682251,0.9752638936042786,0.6320702433586121,0.9875556826591492
0.6406005024909973,0.9648494124412537,0.6174421906471252,1.031141757965088
0.6409836411476135,0.9626275897026062,0.6196712255477905,1.0298596620559692
0.6442927122116089,0.9511280059814453,0.6344385743141174,1.0046943426132202
0.6455815434455872,0.9458328485488892,0.6440512537956238,0.9649500250816345
0.6470444798469543,0.9456831216812134,0.645026445388794,0.970458984375
0.6495872139930725,0.933319091796875,0.6504597663879395,0.9571251273155212
0.6529311537742615,0.9316678643226624,0.646140992641449,0.9624012112617493
